Tipo de resolución|Año de resolución|Referencia|Fecha de resolución|Tipología|Problema jurídico|Ratio decidendi|Decisión|Deber ético (Art. 5 LEG)|Prohibición ética (Art. 6 LEG)
Anormal|2012|153-TEG-2011|12/12/2012|Legalidad del contenido de los actos|¿Es competencia del Tribunal de Ética Gubernamental evaluar la veracidad de informes emitidos por funcionarios públicos?|"...se observa que los denunciantes afirman haber sido expulsados como socios de la Asociación Cooperativa de Producción Agropecuaria Hacienda La Carrera de Responsabilidad Limitada, y manifiestan su inconformidad con ciertas anomalías advertidas en el expediente respectivo, que obra en poder del Departamento de Asociaciones Agropecuarias del Ministerio de Agricultura y Ganadería, las cuales fueron comunicadas al servidor público denunciado.

Afirman que se han extraído los cuadros de membresía correspondientes al período comprendido entre los años ochenta y noventa y que las páginas han sido foliadas para hacer creer que son continuas. De esta forma, aseguran no se encuentran los cuadros de membresía de algunos de los socios, a pesar que existen credenciales en las que aparecen como miembros de la junta directiva.

También exponen su desacuerdo con los argumentos y conclusiones que el servidor público denunciado plasmó en un informe que les entregó el veintisiete de julio de dos mil diez; pues indican que no consignó su propio criterio, que mostró una opinión cerrada y no quiso aplicar la lógica.

...

...los hechos narrados en la denuncia no evidencian una posible transgresión a ninguno de los deberes y prohibiciones éticas a la fecha vigentes; por el contrario, los argumentos expuestos por los denunciantes cuestionan aspectos relativos a la legitimidad del informe emitido por el licenciado Fernando Miguel Farrar Aparicio y la intención de este funcionario en la elaboración de dicho informe.

En efecto, la información registral y la motivación en las que se ampara el informe suscrito por el denunciado no son elementos fiscalizables por este Tribunal porque superan el ámbito de la ética pública. 

Lo mismo sucede con la presunta sustracción de documentos que formaban parte del expediente que lleva el Departamento de Asociaciones Agropecuarias con relación a la asociación cooperativa aludida, hecho que sin embargo podría ser constitutivo de un ilícito penal, por lo que se hará del conocimiento de la Fiscalía General de la República para el inicio de la investigación que corresponda.

En suma, los hechos narrados no guardan relación con los deberes y prohibiciones previstos en la pasada LEG ni en la actual ley de la materia por lo que carecen de tipicidad y sobrepasan la esfera de conocimiento de esta institución."|Improcedente||
Anormal|2013|146-TEG-2011|16/01/2013|Materia de empleo público|¿Constituye una infracción tipificada en la LEG el incumplimiento de una sentencia judicial por parte de funcionarios municipales?|"...que el quince de abril de dos mil once el Juzgado de Primera Instancia de La Libertad pronunció sentencias definitivas en las Diligencias de Nulidad de Despido promovidas por ellos, mediante las cuales se declarararon nulos sus despidos, se ordenó su reinstalo y la cancelación de los salarios que dejaron de percibir. 

Además, señalan que en multiples ocasiones se han abocado a la referida municipalidad a solicititar el cumplimiento de lo ordenado en las sentencias relacionadas, pero el Alcalde Municipal les ha afirmado que no se cumplirán porque la alcaldía está en quiebra. 

Por ello, solicitan se efectúe la investigación del caso sobre lo argumentado por el Alcalde denunciado en cuanto a la no existencia de fondos para dar cumplimiento a la sentencia, pues dicha municipalidad administra fondos públicos y dentro del presupuesto existe la forma de cancelarles  sus salarios, al estar comprendidas sus plazas dentro del mismo. 

...

En principio, la denuncia presentada por los señores Juan Carlos Soriano Mendoza y Encarnación López Teban cumple los requisitos formales establecidos por la ley; sin embargo, su reclamo se basa esencialmente en el supuesto incumplimiento por parte del Alcalde y el Concejo Municipal de La Libertad de resoluciones pronunciadas a su favor por el Juzgado de Primera Instancia de esa ciudad, relativas a la nulidad de sus despidos con las consecuencias respectivas. 

Por tanto, se advierte que los interesados denuncian el incumplimiento de lo ordenado por una autoridad judicial, lo que en todo caso correspondería verificar a ella misma mediante los mecanismos legales pertinentes. 

...

...hechos denunciados no constituyen en realidad transgresiones a las prohibiciones y deberes éticos contenidos en la LEG, sino una aparente desobediencia a un mandato judicial que debe ser corregido mediante las vías legales respectivas.

En consecuencia, dado que los argumentos planteados por la parte denunciante no revelan la posible comisión de una infracción ética y las peticiones no corresponden a la competencia otorgada a este Tribunal, se advierte la existencia de un error de fondo insubsanable que da lugar a la improcedencia de la denuncia.


"|Improcedente||
Anormal|2013|130-TEG-2011|31/01/2013|Falta de subsanación|¿Puede tramitarse una denuncia o aviso al que se le han realizado prevenciones y no han sido subsanadas?|"Advierte este Tribunal que el día quince de enero del corriente año se notificó a la señora Rutilia Ángel Gracias de González la resolución de las nueve horas del dieciocho de diciembre de dos mil doce, mediante la cual se le previno que, dentro del plazo máximo de cinco días hábiles contados a partir del siguiente al de la comunicación respectiva, subsanara ciertas deficiencias formales de su denuncia. 

Ahora bien, el plazo conferido a la interesada para evacuar la respectiva prevención precluyó sin que la misma cumpliera con la prevención aludida. "|Inadmisible||
Anormal|2013|142-TEG-2011|31/01/2013|Falta de subsanación|¿Puede tramitarse una denuncia o aviso al que se le han realizado prevenciones y no han sido subsanadas?|"Advierte este Tribunal que por resolución pronunciada a las ocho horas treinta minutos del día siete y notificada el día veinte, ambas fechas de diciembre del año recién pasado, se previno al señor Mario Mejía que, en el plazo máximo de cinco días hábiles contados a partir del siguiente al de la comunicación respectiva, subsanara algunas deficiencias formales de su denuncia.

Ahora bien, el plazo conferido al interesado para evacuar la referida prevención precluyó sin que el mismo corrigiere en forma oportuna y satisfactoria los vacíos de la denuncia.
"|Inadmisible||
Anormal|2013|131-TEG-2011|01/02/2013|Legalidad del contenido de los actos|¿La decisión unilateral del cierre de un chalet por parte de un servidor público constituye una conducta tipificada en la LEG?|"Los denunciantes exponen que han sido objeto de discriminación por parte del señor Prudencio Baltazar de Paz Ponce por sus orígenes humildes y falta de preparación educativa, razón por la cual no se les comunicó la decisión de cierre del chalet de su propiedad.

Añaden que esa decisión la tomó el servidor público denunciado debido a que ellos no accedieron a firmar un cheque en blanco en concepto de servicios de elaboración de alimentos para un evento del centro educativo.

Además, señalan que el señor de Paz Ponce les niega la solicitud de sostener una reunión con el Consejo Educativo Escolar, explicaciones sobre el cierre del chalet y, además, el acceso para sustraer los bienes muebles de su propiedad.

Asimismo, manifiestan que el denunciado se ha valido de su cargo para tomar la decisión individual de cierre y les solicita que le trasladen las regalías que los proveedores les hacen por los productos que compran para el chalet.

...

...el Tribunal advierte la inconformidad de los señores Norma Fernández de Santos y Manuel Alexander Santos Ardón con la decisión de cierre del chalet que ellos administraban, atribuida al señor de Paz Ponce y cuya legalidad cuestionan; empero, esa circunstancia no puede ser controvertida en esta sede. 

Asimismo, con relación a la supuesta solicitud de dádivas efectuada por el servidor público denunciado, al requerirles las regalías que les entregan los proveedores, no se aprecia que éstas hayan sido pedidas a cambio de una acción u omisión relacionada con las funciones inherentes a su cargo público, sino que aparentemente las solicita de forma directa a los proveedores como condición para que ingresen a vender al chalet los productos.

En consecuencia, dado que los hechos y argumentos planteados por los denunciantes no revelan la posible transgresión a los deberes y prohibiciones regulados en la LEG derogada, subsiste un error de fondo insubsanable que impide la continuación del procedimiento. 
"|Improcedente||
Anormal|2013|157-TEG-2011|04/02/2013|Falta de subsanación|¿Puede tramitarse una denuncia o aviso al que se le han realizado prevenciones y no han sido subsanadas?|"Advierte este Tribunal que el día quince se notificó al señor Rolando Adolfo Aldana la resolución de las nueve horas quince minutos del día tres, ambas fechas de enero del presente año, mediante la cual se le previno que, dentro del plazo máximo de cinco días hábiles contados a partir del siguiente al de la comunicación respectiva, subsanara ciertas deficiencias formales de su denuncia.
 
Ahora bien, el plazo conferido al interesado para evacuar la respectiva prevención venció sin que el mismo la cumpliera. "|Inadmisible||
Anormal|2013|82-TEG-2011|20/02/2013|Ejecución de procesos|¿Falta de cumplimiento de un procedimiento establecido en una normativa institucional tipificada como deber de conducta, equivale a la denegación de servicios?|"..en el caso particular se atribuye al servidor público denunciado la transgresión al deber ético de cumplimiento, regulado en el artículo 5 literal b) de la derogada LEG, por no haberle prestado atención médica al denunciante con base en una supuesta normativa del Ministerio de Salud que establece que los médicos y trabajadores del Hospital Nacional Rosales que cotizan al ISSS deben ser estabilizados y trasladados a dicho instituto. 

Empero, como ya se refirió con anterioridad, en atención al principio de libertad de configuración del legislador o libertad de formación democrática de la voluntad, el deber ético de cumplimiento no se encuentra regulado en la vigente LEG, por lo que esta normativa no reprocha la conducta que se le atribuye al supuesto infractor.

De manera que en el caso particular es procedente reconocer eficacia retroactiva a la vigente LEG, lo que permite concluir que los hechos que se atribuyen al denunciado carecen actualmente de tipicidad por no guardar correspondencia alguna con los deberes y prohibiciones de la normativa vigente; lo que supone que los mismos ya no sean sancionables. 

De esta forma, al no existir norma que sancione el incumplimiento discutido en el presente procedimiento carece de sentido continuar con su tramitación."|Improcedente||
Anormal|2013|95-TEG-2011|27/02/2013|Desistimiento|¿Puede continuarse con un proceso sancionatorio ante el desistimiento de quien interpuso la denuncia?|"Por recibidos los siguientes documentos:
a) El escrito del licenciado Elmer Humberto Castro Hernández, apoderado general judicial del señor Edenilson Ventura Santos, servidor público denunciado, con el poder anexo detallado a folio 327, en el que solicita certificación del expediente y reprogramación de la audiencia fechada para el día uno de marzo del corriente año; y,
b) El de la licenciada Cecilia Milady Ayala Leiva, apoderada general judicial con facultades especiales del doctor Raúl Alberto Pineda Díaz, Director del Hospital Nacional Santa Teresa de Zacatecoluca en su calidad de denunciante, junto con los documentos relacionados en la razón de folio 333, por medio del cual pide que se tenga por desistida la denuncia de parte de su mandante.
  Al respecto, conviene señalar que el desistimiento es la declaración por la que el actor anuncia su voluntad de abandonar su pretensión. 
Como lo ha indicado la Sala de lo Constitucional, el desistimiento constituye una forma de abdicación, renuncia o dejación de un derecho, que tiene por efecto la extinción del proceso en que se controvierte (sobreseimiento del 3/5/2006, amparo 508-2005).
En estrecha relación, el artículo 61 letra a) del Reglamento de la derogada Ley de Ética Gubernamental establecía dicha petición como causal de finalización anticipada del procedimiento, misma que opera mediante la figura del sobreseimiento.
"|Sobreseimiento||
Anormal|2013|80-TEG-2010|07/03/2013|Presupuesto público|¿El registro de marcación es suficiente prueba de la asistencia de un servidor público?|"...en el caso de mérito la denuncia fue admitida contra los señores Edgar Saúl Romero Sánchez y David Gonzalo Cabezas Flores a quienes se atribuye la transgresión de los deberes éticos de cumplimiento y denuncia regulados en el artículo 5 letras b) y h) de la derogada Ley de Ética Gubernamental, el primero por ausentarse de sus labores y el segundo por no denunciar tales inasistencias en esta sede; sin embargo, desde el cinco de noviembre de dos mil diez el procedimiento se encuentra suspendido a favor del señor Romero Sánchez.
Al respecto, es dable indicar que a folio 64 del expediente consta la nota suscrita el ocho de septiembre de dos mil diez por la licenciada Margarita Claros de Nosiglia, Jefe de Recursos Humanos del Consejo Nacional de la Judicatura y dirigida al Presidente de dicha institución, en la cual hace constar que no existen reportes que reflejen inasistencia laboral de parte del señor Romero Sánchez y que sus faltas de marcación están debidamente justificadas o propiciaron los descuentos salariales correspondientes.
Del texto del referido documento no se advierte ninguna conducta antiética que debía ser denunciada por el señor Cabezas Flores tal como lo afirma la parte denunciante, quien no proporcionó elementos probatorios suficientes que sustentaran la transgresión atribuida a dicho servidor público.
En ese sentido, el sustrato probatorio que obra en el expediente carece de la robustez necesaria para juzgar la omisión de denuncia atribuida al referido señor, por lo que debe culminarse el trámite del procedimiento.
"|Sobreseimiento||
Anormal|2013|90-TEG-2010|13/03/2013|Imparcialidad|¿El que un doctor de un Hospital Público refiera a un paciente a su clínica privada para realizarse una operación quirúrgica constituye y cobrarle los honorarios respectivos constituye una conducta tipificada en la LEG?|"...en el presente procedimiento se atribuye al servidor público denunciado la transgresión a la prohibición ética de prevalecerse [sic] de su cargo público para obtener o procurar beneficios privados, contenida en el artículo 6 literal b) de la derogada LEG, por haber referido al señor Concepción Rodríguez López a su clínica privada para realizarle una operación quirúrgica y cobrarle los honorarios respectivos. 

Sin embargo, aunque se trata de una conducta que podría calificarse de incorrecta y socialmente reprochable, por disposición del legislador la LEG vigente no regula la prohibición ética antes mencionada ni contempla ninguna norma sustantiva que vede las actuaciones contrarias a ella.

...

En virtud de lo dispuesto en el artículo 21 de la Constitución, en cuanto a la aplicación retroactiva de la ley más favorable al reo o infractor, según el criterio jurisprudencial antes expuesto, es procedente reconocerle eficacia retroactiva a la vigente LEG, lo que permite concluir que los hechos que se le atribuyen al servidor público denunciado carecen actualmente de tipicidad por no guardar correspondencia alguna con los deberes éticos ni las prohibiciones éticas contenidas en la normativa vigente; y, por consiguiente, tales hechos ya no resultan sancionables.
De esta forma, al no existir norma que reproche el hecho discutido en el presente procedimiento carece de sentido continuar con su tramitación.

"|Improcedente||
Definitiva|2013|35-TEG-2009|13/03/2013|Imparcialidad|"¿Es una infracción ética si la comisión académica no proporciona información sobre la evaluación y promoción del personal académico?
¿Se puede autoproponer los miembros de la comisión académica para promocionarse con excusa posterior?"|"Se aprecia que en el presente procedimiento se ha acreditado plenamente que entre marzo de dos mil siete y marzo de dos mil nueve tanto el Comité de administración como la Junta Directiva realizaron actividades relativas a la formulación de propuestas y reclasificación de personal docente.
A pesar de lo anterior, subsiste en los denunciantes una inconformidad por la manera en que dicha promoción se llevó a cabo; empero, no es competencia del Tribunal analizar los elementos fácticos y jurídicos que fueron considerados por ambos organismos para efectuar las reclasificaciones correspondientes, al ser un asunto de mera legalidad."|No sanciona||f, g
